,TITLE,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
0,Model1,500,1,Unidirectional,0.8240931699623923,0.7902308052225974,0.7740832951023515,0.18198090692124105,0.7020113538269781,0.27074360970870365
1,Model2,500,2,Unidirectional,0.8245784301831858,0.7852660877319727,0.79062881407875,0.27804295942720764,0.6437242838147127,0.36277207475140444
2,Model3,500,3,Unidirectional,0.8320999636054834,0.781451137325695,0.7890534248570205,0.2494033412887828,0.6075218271061446,0.3272330528514638
3,Model4,500,1,Bidirectional,0.8629139876258644,0.85030321900604,0.8388966206900685,0.3854415274463007,0.8099394340647806,0.502075534388252
4,Model5,500,2,Bidirectional,0.8950624772534271,0.8866657182895443,0.8851168401994947,0.5602625298329356,0.8701385660313901,0.6756348962698074
5,Model6,500,3,Bidirectional,0.8948198471430304,0.8863352007826446,0.8826413160035066,0.5393794749403341,0.8700213638234807,0.6557595746825928
6,Model7,800,1,Bidirectional,0.8642484532330462,0.8573519366177207,0.8456961763159903,0.45405727923627687,0.812267409734242,0.5515750219073394
7,Model8,800,2,Bidirectional,0.8974887783573942,0.8915798043566364,0.8887002427791508,0.6217183770883055,0.8995552880008336,0.7128447079426784
8,Model9,800,3,Bidirectional,0.8962756278054107,0.8984855600692321,0.895525170175142,0.6473747016706444,0.8543112401955628,0.7343512890561497
